Type	Time	Value	Data center
rtb.requests	1561385160	44312.08056	dc=I
rtb.requests	1561385520	44205.93889	dc=I
rtb.requests	1561385880	45327.34167	dc=I
rtb.requests	1561386240	42326.825	dc=I
rtb.requests	1561386600	45276.75	dc=I
rtb.requests	1561386960	44743.23333	dc=I
rtb.requests	1561387320	43961.12222	dc=I
rtb.requests	1561387680	43511.37778	dc=I
rtb.requests	1561388040	42616.93611	dc=I
rtb.requests	1561388400	41545.24444	dc=I
rtb.requests	1561388760	40292.36111	dc=I
rtb.requests	1561389120	39917.13333	dc=I
rtb.requests	1561389480	38607.7	dc=I
rtb.requests	1561389840	38229.22778	dc=I
rtb.requests	1561390200	37424.44722	dc=I
rtb.requests	1561390560	35674.95278	dc=I
rtb.requests	1561390920	35323.75278	dc=I
rtb.requests	1561391280	33806.49444	dc=I
rtb.requests	1561391640	32478.20278	dc=I
rtb.requests	1561392000	31497.79167	dc=I
rtb.requests	1561392360	26841.96944	dc=I
rtb.requests	1561392720	26303.425	dc=I
rtb.requests	1561393080	25433.09444	dc=I
rtb.requests	1561393440	23758.82778	dc=I
rtb.requests	1561393800	23875.50278	dc=I
rtb.requests	1561394160	22108.69167	dc=I
rtb.requests	1561394520	20967.75833	dc=I
rtb.requests	1561394880	20145.71389	dc=I
rtb.requests	1561395240	19079.12222	dc=I
rtb.requests	1561395600	17762.23056	dc=I
rtb.requests	1561395960	16900.73056	dc=I
rtb.requests	1561396320	16221.08056	dc=I
rtb.requests	1561396680	16040.025	dc=I
rtb.requests	1561397040	15732.25	dc=I
rtb.requests	1561397400	14667.05833	dc=I
rtb.requests	1561397760	14278.36944	dc=I
rtb.requests	1561398120	13759.1	dc=I
rtb.requests	1561398480	12998.85556	dc=I
rtb.requests	1561398840	12494.15	dc=I
rtb.requests	1561399200	11753.82222	dc=I
rtb.requests	1561399560	11533.67778	dc=I
rtb.requests	1561399920	11107.64167	dc=I
rtb.requests	1561400280	10654.20556	dc=I
rtb.requests	1561400640	10378.25	dc=I
rtb.requests	1561401000	10016.14722	dc=I
rtb.requests	1561401360	9763.211111	dc=I
rtb.requests	1561401720	9389.480556	dc=I
rtb.requests	1561402080	8842.102778	dc=I
rtb.requests	1561402440	8657.172222	dc=I
rtb.requests	1561402800	7790.727778	dc=I
rtb.requests	1561403160	7635.322222	dc=I
rtb.requests	1561403520	7489.2	dc=I
rtb.requests	1561403880	7517.719444	dc=I
rtb.requests	1561404240	7713.466667	dc=I
rtb.requests	1561404600	7233.777778	dc=I
rtb.requests	1561404960	7158	dc=I
rtb.requests	1561405320	7100.65	dc=I
rtb.requests	1561405680	6705.608333	dc=I
rtb.requests	1561406040	6667.061111	dc=I
rtb.requests	1561406400	6456.902778	dc=I
rtb.requests	1561406760	6488.613889	dc=I
rtb.requests	1561407120	6487.661111	dc=I
rtb.requests	1561407480	6229.761111	dc=I
rtb.requests	1561407840	6241.438889	dc=I
rtb.requests	1561408200	6307.938889	dc=I
rtb.requests	1561408560	6168.413889	dc=I
rtb.requests	1561408920	6351.391667	dc=I
rtb.requests	1561409280	6374.35	dc=I
rtb.requests	1561409640	6400.283333	dc=I
rtb.requests	1561410000	6452.158333	dc=I
rtb.requests	1561410360	6747.261111	dc=I
rtb.requests	1561410720	7232.152778	dc=I
rtb.requests	1561411080	7179.191667	dc=I
rtb.requests	1561411440	7637.913889	dc=I
rtb.requests	1561411800	8141.580556	dc=I
rtb.requests	1561412160	8319.991667	dc=I
rtb.requests	1561412520	8665.780556	dc=I
rtb.requests	1561412880	8804.202778	dc=I
rtb.requests	1561413240	9292.097222	dc=I
rtb.requests	1561413600	9491.216667	dc=I
rtb.requests	1561413960	9607.769444	dc=I
rtb.requests	1561414320	10634.73889	dc=I
rtb.requests	1561414680	11373.95278	dc=I
rtb.requests	1561415040	11855.61389	dc=I
rtb.requests	1561415400	12166.15833	dc=I
rtb.requests	1561415760	12649.68056	dc=I
rtb.requests	1561416120	13629.81667	dc=I
rtb.requests	1561416480	14358.11944	dc=I
rtb.requests	1561416840	15379.4	dc=I
rtb.requests	1561417200	15961.33333	dc=I
rtb.requests	1561417560	16567.02778	dc=I
rtb.requests	1561417920	17087.64722	dc=I
rtb.requests	1561418280	18532.33889	dc=I
rtb.requests	1561418640	18922.58889	dc=I
rtb.requests	1561419000	20535.58889	dc=I
rtb.requests	1561419360	20993.48056	dc=I
rtb.requests	1561419720	22299.07778	dc=I
rtb.requests	1561420080	23455.54444	dc=I
rtb.requests	1561420440	23953.40278	dc=I
rtb.requests	1561420800	25235.54722	dc=I
rtb.requests	1561421160	25234.09167	dc=I
rtb.requests	1561421520	27080.51944	dc=I
rtb.requests	1561421880	27552.01944	dc=I
rtb.requests	1561422240	29901.475	dc=I
rtb.requests	1561422600	31902.81944	dc=I
rtb.requests	1561422960	31400.17222	dc=I
rtb.requests	1561423320	33637.76667	dc=I
rtb.requests	1561423680	34544.725	dc=I
rtb.requests	1561424040	36006.50833	dc=I
rtb.requests	1561424400	37803.41667	dc=I
rtb.requests	1561424760	37083.00278	dc=I
rtb.requests	1561425120	38082.83333	dc=I
rtb.requests	1561425480	40390.66944	dc=I
rtb.requests	1561425840	41118.13611	dc=I
rtb.requests	1561426200	43155.84167	dc=I
rtb.requests	1561426560	42913.58611	dc=I
rtb.requests	1561426920	44188.13056	dc=I
rtb.requests	1561427280	43854.95556	dc=I
rtb.requests	1561427640	45838.91667	dc=I
rtb.requests	1561428000	46666.12778	dc=I
rtb.requests	1561428360	44445.00833	dc=I
rtb.requests	1561428720	45415.25556	dc=I
rtb.requests	1561429080	45536.42222	dc=I
rtb.requests	1561429440	44824.98889	dc=I
rtb.requests	1561429800	47948.33056	dc=I
rtb.requests	1561430160	48531.875	dc=I
rtb.requests	1561430520	48964.07222	dc=I
rtb.requests	1561430880	48648.31111	dc=I
rtb.requests	1561431240	48946.64722	dc=I
rtb.requests	1561431600	48911.64444	dc=I
rtb.requests	1561431960	47878.94444	dc=I
rtb.requests	1561432320	48852.80556	dc=I
rtb.requests	1561432680	48894.50556	dc=I
rtb.requests	1561433040	49335.94167	dc=I
rtb.requests	1561433400	50663.86667	dc=I
rtb.requests	1561433760	50311.49444	dc=I
rtb.requests	1561434120	50776.56111	dc=I
rtb.requests	1561434480	50518.30278	dc=I
rtb.requests	1561434840	50963.72778	dc=I
rtb.requests	1561435200	51928.66667	dc=I
rtb.requests	1561435560	49613.44167	dc=I
rtb.requests	1561435920	50183.86944	dc=I
rtb.requests	1561436280	-1630442.511	dc=I
rtb.requests	1561436640	34375.98472	dc=I
rtb.requests	1561437000	53960.12963	dc=I
rtb.requests	1561437360	59787.71944	dc=I
rtb.requests	1561437720	59048.58333	dc=I
rtb.requests	1561438080	58665.50556	dc=I
rtb.requests	1561438440	59610.84444	dc=I
rtb.requests	1561438800	58476.01667	dc=I
rtb.requests	1561439160	57845.52778	dc=I
rtb.requests	1561439520	57221.725	dc=I
rtb.requests	1561439880	59112.97778	dc=I
rtb.requests	1561440240	59266.38889	dc=I
rtb.requests	1561440600	58758.71111	dc=I
rtb.requests	1561440960	59082.38889	dc=I
rtb.requests	1561441320	58200.53333	dc=I
rtb.requests	1561441680	57775.37778	dc=I
rtb.requests	1561442040	55914.83611	dc=I
rtb.requests	1561442400	59704.08889	dc=I
rtb.requests	1561442760	57012.57222	dc=I
rtb.requests	1561443120	61526.57778	dc=I
rtb.requests	1561443480	57483.49444	dc=I
rtb.requests	1561443840	58805.36667	dc=I
rtb.requests	1561444200	59840.22778	dc=I
rtb.requests	1561444260	58198.03849	dc=I
